hotelname,hotelcategory,rate,ratedescription,commentcount,badgerate,stayduration,hotellocation,country,adults,room,checkoutdate,bestbaseprice,bestdiscountprice,offersortid,suppliername,baseprice,discountprice,currency,iscancellable,additionalfeature,hotelurl,senddate,city,checkindate,roomtype
Delphin Imperial Lara,5,"9,1",Fabelhaft,5.04,,6,Lara ,Turkey,2,1,2/23/2020,610,610,2,Hotelopia,"814,97","632,16",€,FALSE,,https://hotel.check24.de/search/Delphin%20Imperial%20Lara-6354935/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=255&oP=610,34:50.1,Antalya,2/17/2020,Doppelzimmer
Delphin Imperial Lara,5,"9,1",Fabelhaft,5.04,,6,Lara ,Turkey,2,1,2/23/2020,610,610,4,Hotelopia,"1.114,32","1.114,32",€,FALSE,Meerblick,https://hotel.check24.de/search/Delphin%20Imperial%20Lara-6354935/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=255&oP=610,25:25.9,Antalya,2/17/2020,Doppelzimmer
Delphin Imperial Lara,5,"9,1",Fabelhaft,5.04,,6,Lara ,Turkey,2,1,2/23/2020,610,610,5,Booking.com,"905,52","905,52",€,TRUE,,https://hotel.check24.de/search/Delphin%20Imperial%20Lara-6354935/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=255&oP=610,25:25.9,Antalya,2/17/2020,Doppelzimmer
Demirci Hotel,,"4,4",Bewertung,,,6,Belek ,Turkey,2,1,2/23/2020,213,200,1,Hotels.Com,"212,76","199,56",€,TRUE,,https://hotel.check24.de/search/Demirci%20Hotel-9601567/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=178&oP=199.56,07:02.2,Antalya,2/17/2020,Doppelzimmer
Dinc Hotel,3,"7,9",Gut,221,,6,Antalya ,Turkey,2,1,2/23/2020,130,116,1,Hotelopia,"152,00","115,68",€,FALSE,,https://hotel.check24.de/search/Dinc%20Hotel-7468852/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=502&oP=115.68,54:06.2,Antalya,2/17/2020,Doppelzimmer
Dinc Hotel,3,"7,9",Gut,221,,6,Antalya ,Turkey,2,1,2/23/2020,130,116,3,Hotelopia,"152,00","128,52",€,FALSE,,https://hotel.check24.de/search/Dinc%20Hotel-7468852/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=502&oP=115.68,54:06.2,Antalya,2/17/2020,Doppelzimmer
Dinc Hotel,3,"7,9",Gut,221,,6,Antalya ,Turkey,2,1,2/23/2020,130,116,4,Hotels.Com,"138,00","138,00",€,TRUE,,https://hotel.check24.de/search/Dinc%20Hotel-7468852/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=502&oP=115.68,54:46.6,Antalya,2/17/2020,Doppelzimmer
Dogan Hotel,,"8,7",Sehr gut,410,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,188,188,2,Expedia,"384,12","252,72",€,FALSE,,https://hotel.check24.de/search/Dogan%20Hotel-7468924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=188,58:25.0,Antalya,2/17/2020,Doppelzimmer
Dogan Hotel,,"8,7",Sehr gut,410,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,188,188,6,Booking.com,"384,12","252,72",€,FALSE,,https://hotel.check24.de/search/Dogan%20Hotel-7468924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=188,57:18.2,Antalya,2/17/2020,Doppelzimmer
Dogan Hotel,,"8,7",Sehr gut,410,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,188,188,9,5vorFlug,"384,12","294,00",€,FALSE,,https://hotel.check24.de/search/Dogan%20Hotel-7468924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=188,57:18.2,Antalya,2/17/2020,Doppelzimmer
Dogan Hotel,,"8,7",Sehr gut,410,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,188,188,10,Bentour Reisen,"384,12","310,00",€,FALSE,,https://hotel.check24.de/search/Dogan%20Hotel-7468924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=188,57:18.2,Antalya,2/17/2020,Doppelzimmer
Dogan Hotel,,"8,7",Sehr gut,410,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,188,188,11,Hotel.de,"384,12","351,00",€,TRUE,,https://hotel.check24.de/search/Dogan%20Hotel-7468924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=188,58:25.0,Antalya,2/17/2020,Doppelzimmer
Dogan Hotel,,"8,7",Sehr gut,410,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,188,188,12,Expedia,"400,50","400,50",€,FALSE,,https://hotel.check24.de/search/Dogan%20Hotel-7468924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=188,57:18.2,Antalya,2/17/2020,Doppelzimmer
Doria Hotel Yacht Club Kaş,,"8,5",Sehr gut,13,,6,Kaş ,Turkey,2,1,2/23/2020,1.104,994,2,Hotelopia,"1.104,42","1.104,42",€,FALSE,Meerblick,https://hotel.check24.de/search/Doria%20Hotel%20Yacht%20Club%20Ka%C5%9F-8672218/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=176&oP=994.02,44:11.4,Antalya,2/17/2020,Doppelzimmer
Doubletree By Hilton Antalya City Centre,,"9,0",Fabelhaft,299,,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,473,406,8,Agoda,"473,08","473,08",€,TRUE,,https://hotel.check24.de/search/Doubletree%20By%20Hilton%20Antalya%20City%20Centre-11409852/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D9%26per_page%3D50&refLocationId=400999&oS=242&oP=406,56:41.4,Antalya,2/17/2020,Doppelzimmer
Dream World Hill - All Inclusive,5,"9,2",Fabelhaft,3.072,,6,"Kumköy, Side ",Turkey,2,1,2/23/2020,309,298,1,Bentour Reisen,"314,00","297,00",€,FALSE,,https://hotel.check24.de/search/Dream%20World%20Hill%20-%20All%20Inclusive-9597702/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=217&oP=298,42:21.0,Antalya,2/17/2020,Doppelzimmer
Dream World Hill - All Inclusive,5,"9,2",Fabelhaft,3.072,,6,"Kumköy, Side ",Turkey,2,1,2/23/2020,309,298,3,AurumTours,"314,00","309,00",€,FALSE,,https://hotel.check24.de/search/Dream%20World%20Hill%20-%20All%20Inclusive-9597702/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=217&oP=298,42:21.0,Antalya,2/17/2020,Doppelzimmer
DuruSu Suites,,"7,9",Gut,230,,6,Antalya ,Turkey,2,1,2/23/2020,185,185,4,Hotel.de,"13.332,00","13.332,00",€,FALSE,Kostenlose Tageszeitung,https://hotel.check24.de/search/DuruSu%20Suites-7915029/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=178&oP=184.56,25:36.7,Antalya,2/17/2020,Doppelzimmer
DuruSu Suites,,"7,9",Gut,230,,6,Antalya ,Turkey,2,1,2/23/2020,185,185,10,Expedia,"205,08","205,08",€,TRUE,,https://hotel.check24.de/search/DuruSu%20Suites-7915029/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=178&oP=184.56,25:36.7,Antalya,2/17/2020,Doppelzimmer
Ela Quality Resort Belek - Kids Concept,5,"9,4",Fabelhaft,4.939,Top 5% der Stadt,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,816,524,6,Booking.com,"867,00","867,00",€,FALSE,Meerblick,https://hotel.check24.de/search/Ela%20Quality%20Resort%20Belek%20-%20Kids%20Concept-5726849/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=202&oP=524,00:18.2,Antalya,2/17/2020,Doppelzimmer
Elegance East Hotel,,"8,5",Sehr gut,674,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,286,225,7,Hotelopia,"449,16","449,16",€,FALSE,,https://hotel.check24.de/search/Elegance%20East%20Hotel-7912627/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=176&oP=224.96,17:13.3,Antalya,2/17/2020,Doppelzimmer
Elips Royal Hotel & SPA,4,"7,2",Gut,789,,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,255,197,1,Booking.com,"210,60","196,68",€,FALSE,,https://hotel.check24.de/search/Elips%20Royal%20Hotel%20%26%20SPA-9663899/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=28&oP=196.68,44:17.9,Antalya,2/17/2020,Doppelzimmer
En Vie Beach Boutique Hotel - Adults Only,,"7,4",Gut,228,,6,Alanya ,Turkey,2,1,2/23/2020,180,180,3,Hotels.Com,"333,48","333,48",€,FALSE,Meerblick,https://hotel.check24.de/search/En%20Vie%20Beach%20Boutique%20Hotel%20-%20Adults%20Only-9613060/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=217&oP=180,34:03.7,Antalya,2/17/2020,Doppelzimmer
Enda Boutique Hotel Kalkan,,"8,9",Sehr gut,93,,6,Kalkan ,Turkey,2,1,2/23/2020,324,242,5,Hotelopia,"378,00","378,00",€,FALSE,Meerblick,https://hotel.check24.de/search/Enda%20Boutique%20Hotel%20Kalkan-9597469/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=105&oP=242,26:59.7,Antalya,2/17/2020,Doppelzimmer
Erdem City Hotel,,"9,0",Fabelhaft,31,,6,Kaş ,Turkey,2,1,2/23/2020,348,330,3,Hotels.Com,"360,00","360,00",€,FALSE,,https://hotel.check24.de/search/Erdem%20City%20Hotel-9613012/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=29&oP=329.94,37:36.1,Antalya,2/17/2020,Doppelzimmer
Esperanza Boutique Hotel,,"7,4",Gut,21,,6,Antalya ,Turkey,2,1,2/23/2020,221,172,6,Hotels.Com,"206,40","206,40",€,TRUE,,https://hotel.check24.de/search/Esperanza%20Boutique%20Hotel-9659811/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=28&oP=171.54,33:06.2,Antalya,2/17/2020,Doppelzimmer
Esperanza Boutique Hotel,,"7,4",Gut,21,,6,Antalya ,Turkey,2,1,2/23/2020,221,172,8,Hotelopia,"243,66","243,66",€,FALSE,,https://hotel.check24.de/search/Esperanza%20Boutique%20Hotel-9659811/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=28&oP=171.54,33:06.2,Antalya,2/17/2020,Doppelzimmer
Expo Park Hotel,,"3,4",Bewertung,,,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,160,160,2,Hotels.Com,"360,00","324,00",€,FALSE,,https://hotel.check24.de/search/Expo%20Park%20Hotel-9464221/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D11%26per_page%3D50&refLocationId=400999&oS=105&oP=160,18:56.7,Antalya,2/17/2020,Doppelzimmer
Exporoyal Hotel,,"7,1",Gut,747,,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,96,96,13,Agoda,"256,68","256,68",€,TRUE,,https://hotel.check24.de/search/Exporoyal%20Hotel-9700937/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=502&oP=95.58,27:30.2,Antalya,2/17/2020,Doppelzimmer
Fame Residence Lara & Spa,5,"8,9",Sehr gut,3.578,,6,Lara ,Turkey,2,1,2/23/2020,480,352,1,Booking.com,"480,00","480,00",€,FALSE,,https://hotel.check24.de/search/Fame%20Residence%20Lara%20%26%20Spa-986298/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=352,17:16.8,Antalya,2/17/2020,Doppelzimmer
Fame Residence Lara & Spa,5,"8,9",Sehr gut,3.578,,6,Lara ,Turkey,2,1,2/23/2020,480,352,2,TRAVELIX,"480,00","362,00",€,FALSE,,https://hotel.check24.de/search/Fame%20Residence%20Lara%20%26%20Spa-986298/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=352,40:20.7,Antalya,2/17/2020,Doppelzimmer
Fame Residence Lara & Spa,5,"8,9",Sehr gut,3.578,,6,Lara ,Turkey,2,1,2/23/2020,480,352,4,Booking.com,"576,00","576,00",€,FALSE,Meerblick,https://hotel.check24.de/search/Fame%20Residence%20Lara%20%26%20Spa-986298/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=352,40:20.7,Antalya,2/17/2020,Doppelzimmer
Febeach Hotel - All Inclusive,4,"8,9",Sehr gut,1.475,,6,"Kumköy, Side ",Turkey,2,1,2/23/2020,286,224,2,TRAVELIX,"285,72","236,00",€,FALSE,,https://hotel.check24.de/search/Febeach%20Hotel%20-%20All%20Inclusive-6675065/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=257&oP=224,49:42.7,Antalya,2/17/2020,Doppelzimmer
Fire Pansiyon,,"8,6",Sehr gut,,,6,Çıralı ,Turkey,2,1,2/23/2020,189,178,2,Booking.com,"189,00","189,00",€,FALSE,,https://hotel.check24.de/search/Fire%20Pansiyon-3638385/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=29&oP=178.46,42:31.9,Antalya,2/17/2020,Doppelzimmer
Flamingo Residence,,"7,8",Gut,355,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,121,105,1,Booking.com,"131,64","108,46",€,FALSE,,https://hotel.check24.de/search/Flamingo%20Residence-9813588/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=29&oP=105.3,27:06.2,Antalya,2/17/2020,Doppelzimmer
Gardenia Hotel,4,"8,6",Sehr gut,596,,6,Alanya ,Turkey,2,1,2/23/2020,229,229,3,LMX Touristik,"241,00","241,00",€,FALSE,,https://hotel.check24.de/search/Gardenia%20Hotel-6925516/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=502&oP=228.6,08:53.6,Antalya,2/17/2020,Doppelzimmer
Gloria Verde Resort - Kids Concept,5,"9,4",Fabelhaft,1.426,,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,1.248,774,1,Expedia,"1.538,55","1.123,14",€,FALSE,,https://hotel.check24.de/search/Gloria%20Verde%20Resort%20-%20Kids%20Concept-7136236/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=202&oP=774,01:56.6,Antalya,2/17/2020,Doppelzimmer
Gloria Verde Resort - Kids Concept,5,"9,4",Fabelhaft,1.426,,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,1.248,774,3,Hotelopia,"1.538,55","1.248,00",€,FALSE,,https://hotel.check24.de/search/Gloria%20Verde%20Resort%20-%20Kids%20Concept-7136236/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=202&oP=774,01:56.6,Antalya,2/17/2020,Doppelzimmer
Gloria Verde Resort - Kids Concept,5,"9,4",Fabelhaft,1.426,,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,1.248,774,6,Agoda,"1.538,55","1.538,55",€,FALSE,Kostenlose Minibar,https://hotel.check24.de/search/Gloria%20Verde%20Resort%20-%20Kids%20Concept-7136236/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=202&oP=774,00:30.1,Antalya,2/17/2020,Doppelzimmer
Golden Pension,,"8,8",Sehr gut,100,,6,Patara ,Turkey,2,1,2/23/2020,380,360,2,Hotels.Com,"360,00","360,00",€,FALSE,,https://hotel.check24.de/search/Golden%20Pension-8629874/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=178&oP=360,28:10.6,Antalya,2/17/2020,Doppelzimmer
Goodman Hotel & Bistro,,"8,3",Sehr gut,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,258,173,4,Hotels.Com,"300,00","300,00",€,FALSE,,https://hotel.check24.de/search/Goodman%20Hotel%20%26%20Bistro-9421618/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=29&oP=172.79,11:53.6,Antalya,2/17/2020,Doppelzimmer
Grand Erken Hotel,,"7,3",Gut,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,135,135,1,Booking.com,"135,36","135,00",€,FALSE,,https://hotel.check24.de/search/Grand%20Erken%20Hotel-7176314/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=28&oP=135,41:09.5,Antalya,2/17/2020,Doppelzimmer
Grand Erken Hotel,,"7,3",Gut,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,135,135,6,Hotels.Com,"150,00","150,00",€,TRUE,,https://hotel.check24.de/search/Grand%20Erken%20Hotel-7176314/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=28&oP=135,41:09.5,Antalya,2/17/2020,Doppelzimmer
Grand Nar Hotel - All Inclusive,,"5,0",Bewertung,,,6,Kemer ,Turkey,2,1,2/23/2020,3.093,3,1,Hotelopia,"3.093,00","3.000,00",€,FALSE,,https://hotel.check24.de/search/Grand%20Nar%20Hotel%20-%20All%20Inclusive-6765528/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D14%26per_page%3D50&refLocationId=400999&oS=502&oP=3000,54:33.1,Antalya,2/17/2020,Doppelzimmer
Grand Okan Hotel,4,"8,7",Sehr gut,814,,6,Alanya ,Turkey,2,1,2/23/2020,196,196,4,Hotels.Com,"378,00","352,14",€,FALSE,,https://hotel.check24.de/search/Grand%20Okan%20Hotel-5884966/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=217&oP=196,06:54.2,Antalya,2/17/2020,Doppelzimmer
Grand Park Lara Hotel,4,"8,5",Sehr gut,5.585,,6,Lara ,Turkey,2,1,2/23/2020,278,278,1,Booking.com,"522,24","489,60",€,FALSE,,https://hotel.check24.de/search/Grand%20Park%20Lara%20Hotel-5245174/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=278,32:14.9,Antalya,2/17/2020,Doppelzimmer
Grand Park Lara Hotel,4,"8,5",Sehr gut,5.585,,6,Lara ,Turkey,2,1,2/23/2020,278,278,8,Agoda,"522,24","389,34",€,FALSE,,https://hotel.check24.de/search/Grand%20Park%20Lara%20Hotel-5245174/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=278,38:39.2,Antalya,2/17/2020,Doppelzimmer
Grand Park Lara Hotel,4,"8,5",Sehr gut,5.585,,6,Lara ,Turkey,2,1,2/23/2020,278,278,10,AurumTours,"522,24","439,00",€,FALSE,,https://hotel.check24.de/search/Grand%20Park%20Lara%20Hotel-5245174/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=278,39:56.9,Antalya,2/17/2020,Doppelzimmer
Grand Park Lara Hotel,4,"8,5",Sehr gut,5.585,,6,Lara ,Turkey,2,1,2/23/2020,278,278,12,AurumTours,"1.228,00","1.228,00",€,FALSE,,https://hotel.check24.de/search/Grand%20Park%20Lara%20Hotel-5245174/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=278,39:56.9,Antalya,2/17/2020,Doppelzimmer
Green Beyza Hotel,,"8,1",Sehr gut,396,,6,Antalya ,Turkey,2,1,2/23/2020,162,155,3,Booking.com,"162,00","162,00",€,FALSE,,https://hotel.check24.de/search/Green%20Beyza%20Hotel-9193544/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=155,56:18.4,Antalya,2/17/2020,Doppelzimmer
Guckar Sehrinn Oteli,,"9,4",Fabelhaft,,,6,Serik ,Turkey,2,1,2/23/2020,198,178,5,Expedia,"178,20","178,20",€,TRUE,,https://hotel.check24.de/search/Guckar%20Sehrinn%20Oteli-9747879/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D9%26per_page%3D50&refLocationId=400999&oS=190&oP=178.2,03:57.3,Antalya,2/17/2020,Doppelzimmer
Hideaway,,"9,4",Fabelhaft,381,,6,Kaş ,Turkey,2,1,2/23/2020,138,138,4,Expedia,"252,00","252,00",€,FALSE,Meerblick,https://hotel.check24.de/search/Hideaway-8672280/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=176&oP=138,18:48.1,Antalya,2/17/2020,Doppelzimmer
Hideaway,,"9,4",Fabelhaft,381,,6,Kaş ,Turkey,2,1,2/23/2020,138,138,8,Expedia,"241,56","241,56",€,FALSE,Meerblick,https://hotel.check24.de/search/Hideaway-8672280/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=176&oP=138,18:48.1,Antalya,2/17/2020,Doppelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,3,Hotels.Com,"260,00","260,00",€,TRUE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,30:17.5,Antalya,2/17/2020,Doppelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,5,Hotels.Com,"493,98","493,98",€,FALSE,Meerblick,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,37:17.6,Antalya,2/17/2020,Doppelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,11,Hotels.Com,"290,00","290,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,37:17.6,Antalya,2/17/2020,Doppelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,11,LMX Touristik,"493,96","300,00",€,FALSE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,30:17.5,Antalya,2/17/2020,Doppelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,12,Holiday Inn,"493,96","344,00",€,TRUE,,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,15:47.7,Antalya,2/17/2020,Doppelzimmer
Holiday Inn Antalya - Lara,5,"8,4",Sehr gut,1.957,,6,Antalya ,Turkey,2,1,2/23/2020,298,260,14,Hotels.Com,"493,96","373,94",€,TRUE,Meerblick,https://hotel.check24.de/search/Holiday%20Inn%20Antalya%20-%20Lara-9643714/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=190&oP=259.98,15:47.7,Antalya,2/17/2020,Doppelzimmer
