hotelname,hotelcategory,rate,ratedescription,commentcount,badgerate,stayduration,hotellocation,country,adults,room,checkoutdate,bestbaseprice,bestdiscountprice,offersortid,suppliername,baseprice,discountprice,currency,iscancellable,additionalfeature,hotelurl,senddate,city,checkindate,roomtype
Mare Nostrum Apart,,"9,4",Fabelhaft,90,,6,Kaş ,Turkey,2,1,2/23/2020,157,157,5,Hotels.Com,"190,05","190,00",€,FALSE,,https://hotel.check24.de/search/Mare%20Nostrum%20Apart-8672224/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=156.75,47:54.6,Antalya,2/17/2020,Apartment
Mare Nostrum Apart,,"9,4",Fabelhaft,90,,6,Kaş ,Turkey,2,1,2/23/2020,157,157,7,Expedia,"190,05","190,05",€,FALSE,,https://hotel.check24.de/search/Mare%20Nostrum%20Apart-8672224/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=156.75,47:54.6,Antalya,2/17/2020,Apartment
Miracle Resort Hotel,5,"8,9",Sehr gut,4.776,,6,Lara ,Turkey,2,1,2/23/2020,1.376,1.057,15,Booking.com,"2.374,00","2.374,00",€,FALSE,,https://hotel.check24.de/search/Miracle%20Resort%20Hotel-986291/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=105&oP=1057,07:51.7,Antalya,2/17/2020,Apartment
Miracle Resort Hotel,5,"8,9",Sehr gut,4.776,,6,Lara ,Turkey,2,1,2/23/2020,1.384,1.057,21,Booking.com,"2.640,00","2.640,00",€,FALSE,,https://hotel.check24.de/search/Miracle%20Resort%20Hotel-986291/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=105&oP=1057,32:04.7,Antalya,2/17/2020,Apartment
Nar Sarisu Apart,,"7,1",Gut,,,6,Antalya ,Turkey,2,1,2/23/2020,113,110,1,Hotels.Com,"110,16","110,16",€,FALSE,,https://hotel.check24.de/search/Nar%20Sarisu%20Apart-12702871/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=178&oP=110.16,14:41.0,Antalya,2/17/2020,Apartment
Narcis Apart Hotel,,"8,6",Sehr gut,,,6,Alanya ,Turkey,2,1,2/23/2020,162,144,3,Booking.com,"170,00","170,00",€,FALSE,,https://hotel.check24.de/search/Narcis%20Apart%20Hotel-9586596/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=176&oP=143.96,36:38.0,Antalya,2/17/2020,Apartment
Naturella Hotel & Apart,,"8,1",Sehr gut,279,,6,Kemer ,Turkey,2,1,2/23/2020,117,71,4,Hotelopia,"136,08","114,24",€,FALSE,,https://hotel.check24.de/search/Naturella%20Hotel%20%26%20Apart-8121706/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=502&oP=71.4,31:39.3,Antalya,2/17/2020,Apartment
Olbia Residence Hotel,,"8,3",Sehr gut,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,243,243,1,Expedia,"243,00","243,00",€,FALSE,Meerblick,https://hotel.check24.de/search/Olbia%20Residence%20Hotel-9702089/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=176&oP=243,38:24.2,Antalya,2/17/2020,Apartment
Palm Konak Hotel,,"9,3",Fabelhaft,,,6,Çıralı ,Turkey,2,1,2/23/2020,237,237,4,Booking.com,"280,80","280,80",€,FALSE,,https://hotel.check24.de/search/Palm%20Konak%20Hotel-9795464/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D11%26per_page%3D50&refLocationId=400999&oS=28&oP=237.12,23:40.2,Antalya,2/17/2020,Apartment
Q SPA Resort,,"8,8",Sehr gut,374,,6,Side ,Turkey,2,1,2/23/2020,450,332,1,Booking.com,"448,00","332,10",€,FALSE,,https://hotel.check24.de/search/Q%20SPA%20Resort-8086871/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=28&oP=332.1,22:22.9,Antalya,2/17/2020,Apartment
Rodinn Park Hotel,,"9,9",Außer­gewöhnlich,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,220,210,4,Hotels.Com,"258,48","222,26",€,FALSE,,https://hotel.check24.de/search/Rodinn%20Park%20Hotel-10873272/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=178&oP=210.38,09:17.4,Antalya,2/17/2020,Apartment
Rodinn Park Hotel,,"9,9",Außer­gewöhnlich,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,220,211,6,Expedia,"258,48","247,32",€,TRUE,,https://hotel.check24.de/search/Rodinn%20Park%20Hotel-10873272/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=178&oP=210.5,11:19.7,Antalya,2/17/2020,Apartment
Royal Holiday Palace,5,"9,4",Fabelhaft,4.111,Top 5% der Stadt,6,Lara ,Turkey,2,1,2/23/2020,864,536,9,AurumTours,"1.330,00","1.330,00",€,FALSE,,https://hotel.check24.de/search/Royal%20Holiday%20Palace-8503849/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=242&oP=536,24:44.2,Antalya,2/17/2020,Apartment
Royal Holiday Palace,5,"9,4",Fabelhaft,4.111,Top 5% der Stadt,6,Lara ,Turkey,2,1,2/23/2020,864,536,15,AurumTours,"1.330,00","1.330,00",€,FALSE,,https://hotel.check24.de/search/Royal%20Holiday%20Palace-8503849/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=242&oP=536,33:31.2,Antalya,2/17/2020,Apartment
Sailorson Apart Hotel,,"8,2",Sehr gut,51,,6,Alanya ,Turkey,2,1,2/23/2020,127,108,4,Booking.com,"159,00","126,00",€,FALSE,,https://hotel.check24.de/search/Sailorson%20Apart%20Hotel-6764189/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D9%26per_page%3D50&refLocationId=400999&oS=29&oP=108,56:03.8,Antalya,2/17/2020,Apartment
Select Apart Hotel,,"6,1",Befriedigend,238,,6,Alanya ,Turkey,2,1,2/23/2020,617,570,6,Booking.com,"606,00","606,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Select%20Apart%20Hotel-9595899/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=190&oP=570,08:27.6,Antalya,2/17/2020,Apartment
Semiz Apart Hotel,,"7,0",Gut,169,,6,Alanya ,Turkey,2,1,2/23/2020,140,92,12,Hotels.Com,"228,00","228,00",€,FALSE,,https://hotel.check24.de/search/Semiz%20Apart%20Hotel-9092377/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=29&oP=91.75,37:47.9,Antalya,2/17/2020,Apartment
Sevgi Hotel,,"7,8",Gut,68,Top 3% der Stadt,6,Kalkan ,Turkey,2,1,2/23/2020,283,264,4,Booking.com,"324,00","324,00",€,FALSE,,https://hotel.check24.de/search/Sevgi%20Hotel-6735404/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D14%26per_page%3D50&refLocationId=400999&oS=29&oP=264,50:10.5,Antalya,2/17/2020,Apartment
